name,min,base,max
techs.electricity_econatur.costs.co2.om_con,0.014,0.02,0.03
techs.gas_standard.costs.monetary.om_con,0.09275,0.1325,0.19875
techs.gas_standard.costs.co2.om_con,0.161,0.23,0.345
techs.gas_erneuerbar.costs.monetary.om_con,0.1246,0.178,0.267
techs.gas_erneuerbar.costs.co2.om_con,0.0868,0.124,0.186
techs.pallet.costs.monetary.om_con,0.0714,0.102,0.153
techs.pallet.costs.co2.om_con,0.0196,0.028,0.042
techs.oil.costs.monetary.om_con,0.07,0.1,0.15
techs.oil.costs.co2.om_con,0.2268,0.324,0.486
techs.district_heating.costs.monetary.om_con,0.0854,0.122,0.183
techs.district_heating.costs.co2.om_con,0.0357,0.051,0.0765
techs.PV_small.costs.monetary.energy_cap,2100,3000,4500
techs.PV_small.costs.co2.energy_cap,875,1250,1875
techs.PV_small.constraints.lifetime,18.9,27,40.5
techs.PV_middle.costs.monetary.energy_cap,1010.8,1444,2166
techs.PV_middle.costs.monetary.purchase,10888.5,15555,23332.5
techs.PV_middle.costs.co2.energy_cap,875,1250,1875
techs.PV_middle.constraints.lifetime,18.9,27,40.5
techs.PV_large.costs.monetary.energy_cap,700,1000,1500
techs.PV_large.costs.monetary.purchase,4200,6000,9000
techs.PV_large.costs.co2.energy_cap,875,1250,1875
techs.PV_large.constraints.lifetime,18.9,27,40.5
techs.PV_extra_large.costs.monetary.energy_cap,910,1300,1950
techs.PV_extra_large.costs.co2.energy_cap,875,1250,1875
techs.PV_extra_large.constraints.lifetime,18.9,27,40.5
techs.SCFP.costs.monetary.energy_cap,1103.2,1576,2364
techs.SCFP.costs.co2.energy_cap,203,290,435
techs.SCFP.constraints.lifetime,16.1,23,34.5
techs.SCET.costs.monetary.energy_cap,1432.9,2047,3070.5
techs.SCET.costs.co2.energy_cap,207.2,296,444
techs.SCET.constraints.lifetime,16.1,23,34.5
techs.PVT.constraints.lifetime,0.7,1,1.5
techs.DH_15_50.costs.monetary.energy_cap,260.26,371.8,557.7
techs.DH_15_50.costs.monetary.purchase,5126.1,7323,10984.5
techs.DH_15_50.costs.monetary.om_annual,105,150,225
techs.DH_15_50.costs.co2.energy_cap,3.3397,4.771,7.1565
techs.DH_15_50.constraints.energy_eff,0.665,0.95,1.425
techs.DH_15_50.constraints.lifetime,21,30,45
techs.DH_50_200.costs.monetary.energy_cap,126.616,180.88,271.32
techs.DH_50_200.costs.monetary.purchase,11808.3,16869,25303.5
techs.DH_50_200.costs.monetary.om_annual,105,150,225
techs.DH_50_200.costs.co2.energy_cap,3.3397,4.771,7.1565
techs.DH_50_200.constraints.energy_eff,0.665,0.95,1.425
techs.DH_50_200.constraints.lifetime,21,30,45
techs.DH_200_500.costs.monetary.energy_cap,82.15666669,117.3666667,176.0500001
techs.DH_200_500.costs.monetary.purchase,20700.16667,29571.66667,44357.50001
techs.DH_200_500.costs.monetary.om_annual,105,150,225
