key,value
techs.DH_15_50.costs.monetary.energy_cap,371.8000000000001
techs.DH_15_50.costs.monetary.purchase,7322.999999999996
techs.DH_200_500.costs.monetary.energy_cap,117.4
techs.DH_200_500.costs.monetary.purchase,29571.7
techs.DH_500_2000.costs.monetary.energy_cap,72.01
techs.DH_500_2000.costs.monetary.purchase,52250.0
techs.DH_50_200.costs.monetary.energy_cap,180.88
techs.DH_50_200.costs.monetary.purchase,16869.0
techs.HEX_60_35.constraints.lifetime,1.0
techs.HEX_85_60.constraints.lifetime,1.0
techs.SCET.constraints.lifetime,23.0
techs.SCET.constraints.resource_area_per_energy_cap,1.41
techs.SCET.costs.co2.energy_cap,296.0
techs.SCET.costs.monetary.energy_cap,2047.0
techs.SCET.costs.monetary.purchase,1.0
techs.SCFP.constraints.lifetime,23.0
techs.SCFP.constraints.resource_area_per_energy_cap,1.297
techs.SCFP.costs.co2.energy_cap,290.0
techs.SCFP.costs.monetary.energy_cap,1576.0
techs.SCFP.costs.monetary.purchase,1.0
techs.gas_boiler_large.constraints.lifetime,22.0
techs.gas_boiler_large.costs.co2.energy_cap,18.1
techs.gas_boiler_large.costs.monetary.energy_cap,155.3
techs.gas_boiler_large.costs.monetary.om_annual,6.3
techs.gas_boiler_large.costs.monetary.purchase,23933.3
techs.gas_boiler_middle.constraints.lifetime,21.0
techs.gas_boiler_middle.costs.co2.energy_cap,18.1
techs.gas_boiler_middle.costs.monetary.energy_cap,176.7
techs.gas_boiler_middle.costs.monetary.om_annual,6.3
techs.gas_boiler_middle.costs.monetary.purchase,19666.7
techs.gas_boiler_small.constraints.lifetime,20.0
techs.gas_boiler_small.costs.co2.energy_cap,37.685
techs.gas_boiler_small.costs.monetary.energy_cap,300.0
techs.gas_boiler_small.costs.monetary.om_annual,6.3
techs.gas_boiler_small.costs.monetary.purchase,17200.0
techs.gas_micro_CHP.constraints.carrier_ratios.carrier_out_2.electricity,0.64
techs.gas_micro_CHP.constraints.lifetime,15.0
techs.gas_micro_CHP.costs.co2.energy_cap,86.82
techs.gas_micro_CHP.costs.monetary.energy_cap,1108.2
techs.gas_micro_CHP.costs.monetary.export,-0.1272
techs.gas_micro_CHP.costs.monetary.om_annual,1.15
techs.gas_micro_CHP.costs.monetary.purchase,33195.0
techs.gas_standard.constraints.lifetime,1.0
techs.gas_standard.costs.co2.om_con,0.23
techs.gas_standard.costs.monetary.om_con,0.1325
techs.oil_boiler_large.constraints.lifetime,20.0
techs.oil_boiler_large.costs.co2.energy_cap,19.51
techs.oil_boiler_large.costs.monetary.energy_cap,211.7
techs.oil_boiler_large.costs.monetary.om_annual,3.5
techs.oil_boiler_large.costs.monetary.purchase,21966.7
techs.oil_boiler_middle.constraints.lifetime,20.0
techs.oil_boiler_middle.costs.co2.energy_cap,25.07
techs.oil_boiler_middle.costs.monetary.energy_cap,189.4
techs.oil_boiler_middle.costs.monetary.om_annual,3.5
techs.oil_boiler_middle.costs.monetary.purchase,26411.1
techs.oil_boiler_small.constraints.lifetime,20.0
techs.oil_boiler_small.costs.co2.energy_cap,44.555
techs.oil_boiler_small.costs.monetary.energy_cap,486.7
techs.oil_boiler_small.costs.monetary.om_annual,3.5
techs.oil_boiler_small.costs.monetary.purchase,20466.7
techs.pallet_boiler_large.constraints.lifetime,20.0
techs.pallet_boiler_large.costs.co2.energy_cap,19.4
techs.pallet_boiler_large.costs.monetary.energy_cap,278.00000000000006
techs.pallet_boiler_large.costs.monetary.om_annual,6.3
techs.pallet_boiler_large.costs.monetary.purchase,61799.999999999985
techs.pallet_boiler_middle.constraints.lifetime,20.0
techs.pallet_boiler_middle.costs.co2.energy_cap,19.4
techs.pallet_boiler_middle.costs.monetary.energy_cap,414.9999999999999
techs.pallet_boiler_middle.costs.monetary.om_annual,6.3
techs.pallet_boiler_middle.costs.monetary.purchase,34400.000000000015
techs.pallet_boiler_small.constraints.lifetime,20.0
techs.pallet_boiler_small.costs.co2.energy_cap,77.9
techs.pallet_boiler_small.costs.monetary.energy_cap,880.0
techs.pallet_boiler_small.costs.monetary.om_annual,6.3
techs.pallet_boiler_small.costs.monetary.purchase,25100.0
