name,min,base,max
techs.electricity_econatur.costs.monetary.om_con,0.2,0.2505,0.4
techs.electricity_econatur.costs.co2.om_con,0.015,0.02,0.06
techs.gas_standard.costs.monetary.om_con,0.06,0.1325,0.22
techs.gas_standard.costs.co2.om_con,0.124,0.23,3
techs.pallet.costs.monetary.om_con,0.0714,0.102,0.153
techs.pallet.costs.co2.om_con,0.0196,0.028,0.042
techs.oil.costs.monetary.om_con,0.07,0.1,0.15
techs.oil.costs.co2.om_con,0.2268,0.324,0.486
techs.district_heating.costs.monetary.om_con,0.0854,0.122,0.183
techs.district_heating.costs.co2.om_con,0.0357,0.051,0.0765
techs.PV_small.costs.monetary.energy_cap,2100,3000,4500
techs.PV_small.costs.co2.energy_cap,875,1250,1875
techs.PV_small.constraints.lifetime,18.9,27,40.5
techs.PV_middle.costs.monetary.energy_cap,1010.8,1444,2166
techs.PV_middle.costs.monetary.purchase,10888.5,15555,23332.5
techs.PV_middle.costs.co2.energy_cap,875,1250,1875
techs.PV_middle.constraints.lifetime,18.9,27,40.5
techs.PV_large.costs.monetary.energy_cap,898.8,1284,1926
techs.PV_large.costs.monetary.purchase,22105.3,31579,47368.5
techs.PV_large.costs.co2.energy_cap,875,1250,1875
techs.PV_large.constraints.lifetime,18.9,27,40.5
techs.SCFP.costs.monetary.energy_cap,1103.2,1576,2364
techs.SCFP.costs.co2.energy_cap,203,290,435
techs.SCFP.constraints.lifetime,16.1,23,34.5
techs.SCET.costs.monetary.energy_cap,1432.9,2047,3070.5
techs.SCET.costs.co2.energy_cap,207.2,296,444
techs.SCET.constraints.lifetime,16.1,23,34.5
