,cost,emission_reduction
0,17339700.0,6421.0586239354025
1,17358900.0,260519.65265573483
2,17378200.0,401914.12030638865
3,17397500.0,512249.087868194
4,17416700.0,607005.3421586797
5,17436000.0,688970.308138618
6,17455300.0,766973.2459050441
7,17474500.0,837603.7448263479
8,17493800.0,902179.2874417205
9,17513000.0,962528.90268942
10,17532300.0,1020499.0046954522
11,17551600.0,1073706.8962477345
12,17570800.0,1125611.6634310035
13,17590100.0,1175892.6296583402
14,17609400.0,1224442.5357730412
15,17628600.0,1270228.9906157702
16,17647900.0,1314530.1338911776
17,17667200.0,1357261.0049345947
18,17686400.0,1398164.2939745744
19,17705700.0,1438035.917694798
20,17725000.0,1476994.0106893028
21,17744200.0,1514497.6423910332
22,17763500.0,1551008.0473789035
23,17782800.0,1586270.6081908229
24,17802000.0,1620044.4621015608
25,17821300.0,1653179.4200175982
26,17840500.0,1685010.1107241565
27,17859800.0,1715554.670267517
28,17879100.0,1745377.8594750736
29,17898300.0,1774511.977392468
30,17917600.0,1803222.940603153
31,17936900.0,1831421.0723641028
32,17956100.0,1858788.563765217
33,17975400.0,1885132.3114030913
34,17994700.0,1909093.5975080037
35,18013900.0,1932598.9004232541
36,18033200.0,1955953.5588415042
37,18052500.0,1979036.956921773
38,18071700.0,2001731.2754718955
39,18091000.0,2024120.260056797
40,18110300.0,2045919.0966086262
41,18129500.0,2067142.6847046341
42,18148800.0,2088178.0935410846
43,18168100.0,2108368.8378713615
44,18187300.0,2126976.8957485277
45,18206100.0,2136021.3405623497
46,18225800.0,2143343.560687095
47,18245100.0,2149246.8993035816
48,18264100.0,2154340.9599461462
49,18283400.0,2159047.4995967154
50,18302200.0,2163245.327522861
51,18321500.0,2167305.2588816797
52,18340700.0,2171252.44204627
53,18360700.0,2175013.909977292
54,18379000.0,2178254.9724510936
55,18398400.0,2181619.011602729
56,18417900.0,2184905.7406781586
57,18437700.0,2188136.7278129114
58,18457000.0,2191296.082125781
59,18476200.0,2194237.1258583004
60,18495600.0,2197300.930410543
61,18514800.0,2200228.55475257
62,18534100.0,2203077.958708037
63,18553300.0,2205857.7505178703
64,18572600.0,2208608.8974431255
65,18591500.0,2211173.1883086725
66,18610900.0,2213829.1104574394
67,18630200.0,2216448.340304391
68,18649700.0,2219042.872458268
69,18667800.0,2221431.6044499697
70,18687500.0,2223977.1108961026
71,18707100.0,2226484.8821962145
72,18726700.0,2228968.183751212
73,18746000.0,2231404.0936038587
74,18764900.0,2233679.943306584
75,18784500.0,2236083.201651543
76,18803800.0,2238434.0349266715
77,18823100.0,2240728.601363248
78,18842300.0,2242951.9964966876
79,18861600.0,2245199.6066881577
80,18880800.0,2247373.9551103427
81,18900100.0,2249551.261198965
82,18919400.0,2251698.916456966
83,18938600.0,2253803.9031158173
84,18957900.0,2255884.1665386437
85,18977200.0,2257941.8621712564
86,18996400.0,2259970.219911948
87,19015700.0,2261985.066408197
88,19035000.0,2263973.075098997
89,19054200.0,2265939.865278757
90,19073500.0,2267885.7636362077
91,19092800.0,2269801.3245928236
92,19110900.0,2271554.3553312183
93,19130400.0,2273428.811869385
94,19149700.0,2275276.3787378953
95,19169200.0,2277104.7121834005
96,19188800.0,2278912.108621957
97,19208300.0,2280692.5268867454
98,19226400.0,2282308.047917966
99,19246400.0,2283922.53504561
