cost,emission_reduction
28469900.0,179843.69414661598
28509700.0,512774.46948829043
28549500.0,714577.5831810961
28589400.0,877127.6652357576
28629200.0,1015158.4333850562
28669000.0,1135345.2406564322
28708900.0,1244483.4167264134
28748700.0,1347556.060361962
28788500.0,1444280.3509222155
28828400.0,1535527.671050378
28868200.0,1621392.2915277868
28908000.0,1703252.3153653287
28947900.0,1781259.9745781596
28987700.0,1855233.1459370162
29027500.0,1925494.9644128215
29067400.0,1993512.030661224
29107200.0,2057878.7898548034
29147000.0,2119803.002014576
29186900.0,2180049.090120831
29226700.0,2238710.1707338677
29266500.0,2295970.71837257
29306400.0,2350187.090727333
29346200.0,2399720.599648777
29386000.0,2447816.6896355725
29425900.0,2494786.1640091087
29465700.0,2539678.05142521
29505500.0,2582558.5308701983
29545400.0,2619726.7618888435
29585200.0,2644792.290945219
29625000.0,2664772.0927868853
29664900.0,2682645.3855180223
29704700.0,2698725.244406327
29744500.0,2712542.438658104
29784400.0,2723384.265976265
29824200.0,2732338.1254633176
29864000.0,2740434.401153519
29903900.0,2747559.5327737713
29943700.0,2754273.918079427
29983500.0,2760722.22709979
30023400.0,2766870.370125583
30063200.0,2772732.456057649
30103000.0,2778375.8036360717
30142900.0,2783798.468619389        
30182700.0,2789062.6155872927       
30222500.0,2794210.8304785327       
30262400.0,2799234.955046997        
30302200.0,2804132.4313781685       
30342000.0,2808878.70531806
30381900.0,2813509.612816829        
30421700.0,2818002.8722780948       
30461500.0,2822387.7302140063       
30501400.0,2826674.8660140815       
30541200.0,2830865.240094168        
30581000.0,2834945.279238162        
30620900.0,2838925.4485191014       
30660700.0,2842778.374085836        
30700500.0,2846533.823707854        
30740400.0,2850207.6160568483       
30780200.0,2853749.508319461        
30820000.0,2857120.1109245187       
30859900.0,2860333.6309536435       
30899700.0,2863388.201490427        
30939500.0,2866304.682905624        
30979400.0,2869129.6610593344       
31019200.0,2871869.200051136        
31059000.0,2874485.554348004        
31098900.0,2876947.5398662863       
31138700.0,2879273.2966864635       
31178500.0,2881445.980281418        
31218400.0,2883489.0291847656       
31258200.0,2885448.2494477276       
31298000.0,2887345.1007840084       
31337900.0,2889199.567885144        
31377700.0,2890977.2718735524       
31417500.0,2892682.6686489317       
31457400.0,2894324.120946347        
31497200.0,2895903.465566983        
31537000.0,2897402.693003924        
31576900.0,2898849.332096187        
31616000.0,2900263.8878347506       
31656300.0,2901621.017458232        
31696400.0,2902930.371326881        
31735500.0,2904191.7479133727       
31776000.0,2905398.6970531587       
31815900.0,2906555.1552557396       
31855400.0,2907655.244065436        
31894800.0,2908717.5140678277       
31935400.0,2909748.378220308        
31974700.0,2910717.2061641584       
32014300.0,2911638.187701912        
32054400.0,2912508.3798567494       
32094700.0,2913308.5522788847       
32133900.0,2914061.228691831        
32173500.0,2914735.8457104126       
32214000.0,2915327.0930773257       
32254000.0,2915837.451335855        
32293700.0,2916234.4544973033       
32333600.0,2916488.6113797394       
32372500.0,2916637.778562007        
32412800.0,2916673.5078449636
