cost,emission_reduction
28272438.289065205,44106.771983002036
28311492.418168284,547160.6436452848
28350578.170047965,764519.694281316
28389663.921927646,930183.4274345236
28428749.673807327,1070203.2407990822
28467803.802910406,1193623.0967289882
28506889.554790087,1304105.057372254
28545975.306669768,1407556.4310756915
28585061.05854945,1505854.227089046
28624115.18765253,1598394.3786044903
28663200.93953221,1686515.0684138013
28702286.69141189,1770413.8743248978
28741372.44329157,1850024.0020448943
28780426.57239465,1925673.1291015584
28819512.32427433,1998021.3799086611
28858598.076154012,2066604.5077055749
28897683.828033697,2133191.5002094293
28936737.957136776,2196789.7899907213
28975823.709016457,2258183.503643225
29014909.460896138,2317695.952684698
29053995.21277582,2375972.6235054764
29093049.3418789,2432934.4572726293
29132135.09375858,2487638.216629862
29171220.84563826,2537948.024138039
29210306.59751794,2584477.8703438938
29249360.72662102,2619034.4713720474
29288446.4785007,2642880.4693624843
29327532.230380382,2663237.999655367
29366617.982260063,2681311.317134122
29405672.111363143,2696539.1756385304
29444757.863242824,2708876.2565967147
29483843.615122505,2718629.161156899
29522929.367002185,2727095.771275161
29561983.496105265,2734647.9377952376
29601069.247984946,2741672.7701346218
29640154.99986463,2748314.3140275157
29679240.75174431,2754645.7012380646
29718294.88084739,2760738.4314975324
29757380.63272707,2766551.279057283
29796466.384606753,2772130.875767027
29835552.136486433,2777508.705187557
29874606.265589513,2782719.930126966
29913692.017469194,2787754.877829632
29952777.769348875,2792632.174832884
29991863.521228556,2797374.442280341
30030917.650331635,2802008.6996181
30070003.402211316,2806512.025933765
30109089.154090997,2810915.2327659694
30148174.905970678,2815210.727231842
30187229.035073757,2819385.1092692483
30226314.786953438,2823460.3114193287
30265400.53883312,2827429.5031471346
30304486.290712804,2831260.0858180854
30343540.419815883,2834972.8038202208
30382626.171695564,2838613.2427361547
30421711.923575245,2842161.0658184546
30460797.675454926,2845644.282832797
30499851.804558005,2849016.071963149
30538937.556437686,2852298.883287488
30578023.308317367,2855442.316190902
30617109.060197048,2858476.804746339
30656163.189300127,2861389.759554222
30695248.94117981,2864206.7974513946
30734334.69305949,2866949.9214928956
30773420.44493917,2869575.446908146
30812474.57404225,2872084.182496884
30851560.32592193,2874461.053759538
30890646.07780161,2876727.047248705
30929700.206904694,2878887.8550343076
30968785.95878437,2880969.9842880396
31007871.710664056,2882988.573435053
31046957.462543737,2884960.7521075304
31086011.591646817,2886876.113945661
31125097.343526497,2888746.3028215226
31164183.09540618,2890573.0101534426
31203268.84728586,2892349.068905206
31242322.97638894,2894056.0050319554
31281408.72826862,2895696.049590008
31320494.4801483,2897264.728300946
31359580.23202798,2898757.759601477
31398634.36113106,2900177.3472844404
31437720.11301074,2901555.7280767416
31437720.11301074,2901555.7280767416
31476805.864890423,2902877.9188057785
31515891.616770104,2904140.2691822327
31554945.745873183,2905363.40247255
31594031.497752868,2906541.132862359
31633117.249632545,2907669.1097521675
31672203.00151223,2908742.7724037087
31711257.13061531,2909774.2410168373
31750248.014165185,2910755.896655051
31789175.652161855,2911692.3086192487
31828387.895147946,2912589.691009936
31867442.024251025,2913431.322740236
31906338.039471094,2914185.7009189567
31945328.92302097,2914851.434192719
31984825.770996474,2915424.3050549286
32023879.900099553,2915872.4118068805
32062965.651979234,2916146.2553433585
32102051.403858915,2916245.5506633166
32140789.30519598,2916257.416642287
