building,pareto_index
B160768,6
B160774,6
B160775,6
B160776,6
B160778,6
B160779,6
B160780,6
B160781,6
B160782,6
B160783,6
B160784,6
B160786,6
B160787,6
B160788,6
B160789,6
B160790,6
B160791,6
B160792,6
B160793,6
B160794,6
B160795,6
B160796,6
B160797,6
B160798,6
B160799,6
B160800,6
B160801,6
B160802,6
B160803,6
B160804,6
B160806,6
B160807,6
B160808,6
B160810,6
B160811,6
B160812,6
B160813,6
B160814,6
B160815,6
B160816,6
B160817,6
B160818,6
B160819,6
B160820,6
B160822,6
B160823,6
B160824,6
B160825,6
B160826,6
B160827,6
B160828,6
B160829,6
B160830,6
B160831,6
B160833,6
B160835,6
B160836,6
B160837,6
B160838,6
B160839,6
B160840,6
B160842,6
B160843,6
B160844,6
B160845,6
B160848,6
B160849,5
B160850,6
B160851,6
B160852,6
B160853,6
B160861,5
B160862,5
B160863,4
B160864,5
B160865,5
B160871,5
B160872,5
B160873,6
B160874,5
B160875,5
B160876,5
B160877,5
B160878,5
B160879,5
B160880,5
B160881,5
B160882,5
B160883,5
B160884,5
B160885,5
B160886,5
B160887,5
B160888,5
B160889,6
B160890,6
B160891,6
B160892,5
B160893,6
B160895,6
B160896,6
B160897,6
B160898,6
B160899,5
B160900,5
B160901,5
B160902,6
B160903,6
B160904,6
B160905,6
B160907,6
B160908,6
B160909,6
B160910,6
B160911,6
B160912,6
B160917,5
B160918,5
B160919,2
B160920,5
B160921,6
B160922,5
B160923,5
B160924,5
B160925,5
B160926,5
B160928,5
B160930,5
B160931,6
B160932,6
B160933,6
B160935,5
B160936,5
B160937,6
B160938,6
B160939,6
B160941,6
B160942,6
B160944,6
B160945,6
B160946,6
B160947,6
B160948,6
B160949,6
B160950,6
B160951,6
B160952,6
B160953,6
B160954,6
B160955,5
B160956,2
B160957,3
B160958,4
B160959,5
B160960,5
B160962,6
B160963,6
B160964,6
B160965,6
B160966,5
B160969,3
B160970,3
B160971,3
B160972,2
B160973,5
B160974,6
B160978,0
B160979,3
B160980,4
B160981,5
B160983,5
B160984,5
B160985,5
B160986,5
B160987,5
B160988,5
B160989,5
B161066,5
B161067,0
B161068,5
B161069,5
B161070,5
B161071,5
B161072,5
B161073,6
B161074,5
B161075,5
B161076,5
B161077,5
B161078,5
B161079,5
B161080,5
B161081,6
B161086,5
B161087,5
B161088,5
B161089,5
B161090,5
B161091,5
B161092,6
B161093,5
B161094,5
B161095,5
B161096,5
B161097,2
B161098,5
B161100,5
B161101,5
B161102,5
B161109,3
B161110,5
B161138,5
B161139,5
B161143,3
B161149,5
B161150,3
B161151,0
B161152,5
