cost,emission_reduction
28469800.0,179237.0
28509600.0,514896.0
28549400.0,721286.0
28589300.0,890965.0
28629100.0,1041999.0
28668900.0,1178018.0
28708800.0,1306626.0
28748600.0,1424038.0
28788400.0,1533185.0
28828300.0,1638120.0
28868100.0,1738890.0
28907900.0,1833827.0
28947800.0,1924663.0
28987600.0,2011346.0
29027400.0,2095438.0
29067300.0,2178398.0
29107100.0,2258964.0
29146900.0,2336570.0
29186800.0,2412154.0
29226600.0,2485635.0
29266400.0,2557096.0
29306300.0,2626378.0
29346100.0,2693970.0
29385900.0,2760115.0
29425800.0,2825076.0
29465600.0,2888335.0
29505400.0,2950496.0
29545300.0,3011774.0
29585100.0,3071901.0
29624900.0,3131322.0
29664800.0,3190454.0
29704600.0,3248541.0
29744400.0,3305647.0
29784300.0,3361812.0
29824100.0,3416898.0
29863900.0,3470747.0
29903800.0,3524316.0
29943600.0,3577217.0
29983400.0,3629264.0
30023300.0,3680737.0
30063100.0,3731804.0
30102900.0,3782567.0
30142800.0,3833169.0
30182600.0,3883303.0
30222400.0,3933246.0
30262300.0,3983151.0
30302100.0,4032824.0
30341900.0,4082353.0
30381800.0,4131853.0
30421600.0,4181113.0
30461400.0,4230304.0
30501300.0,4279535.0
30541100.0,4328576.0
30580900.0,4377531.0
30620800.0,4426513.0
30660600.0,4475273.0
30700400.0,4523935.0
30740300.0,4572656.0
30780100.0,4621189.0
30819900.0,4669650.0
30859800.0,4718179.0
30899600.0,4766538.0
30939400.0,4814851.0
30979300.0,4863225.0
31019100.0,4911414.0
31058900.0,4959544.0
31098800.0,5007701.0
31138600.0,5055660.0
31178400.0,5103560.0
31218300.0,5151507.0
31258100.0,5199250.0
31297900.0,5246909.0
31337800.0,5294626.0
31377600.0,5342144.0
31417400.0,5389580.0
31457300.0,5437049.0
31497100.0,5484293.0
31536900.0,5531456.0
31576800.0,5578633.0
31616600.0,5625579.0
31656400.0,5672436.0
31696300.0,5719316.0
31736100.0,5765958.0
31775900.0,5812435.0
31815800.0,5858861.0
31855600.0,5905045.0
31895400.0,5951062.0
31935300.0,5997028.0
31975100.0,6042715.0
32014900.0,6088212.0
32054800.0,6133665.0
32094600.0,6178811.0
32134400.0,6223679.0
32174300.0,6268266.0
32214100.0,6312429.0
32253900.0,6356227.0
32293800.0,6399792.0
32333600.0,6442874.0
32373400.0,6485580.0
32413300.0,6527813.0
